player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Auden Tate,CIN,25.1,308.0,1.6,0.0,0.0,0.0,0.0,47.2
Kalif Raymond,TEN,19.4,246.2,1.6,0.0,0.0,0.0,0.0,39.3
Malik Turner,GB,21.5,274.9,1.5,0.0,0.0,0.0,0.0,43.7
Tim Patrick,DEN,23.5,283.3,1.5,0.2,0.9,0.0,0.0,44.3
Chris Hogan,NYJ,22.0,276.0,2.0,0.0,0.0,0.0,0.0,46.3
Tyler Johnson,TB,20.0,262.2,1.5,2.0,13.4,0.2,0.0,42.5
Trey Quinn,WAS,23.8,284.8,1.8,0.0,0.0,0.0,0.0,46.6
Rashard Higgins,CLE,20.0,245.0,2.0,0.0,0.0,0.0,0.0,42.6
Javon Wims,CHI,16.3,211.8,1.0,0.0,0.0,0.0,0.0,33.5
David Sills,NYG,12.4,149.1,0.9,0.0,0.0,0.0,0.0,27.2
Damiere Byrd,NE,14.7,186.3,1.0,0.0,0.0,0.0,0.1,30.6
Laquon Treadwell,ATL,16.0,234.0,2.0,0.0,0.0,0.0,0.0,41.2
Riley Ridley,CHI,21.0,256.0,2.0,0.0,0.0,0.0,0.0,43.5
Tajae Sharpe,MIN,16.0,219.0,1.0,0.0,0.0,0.0,0.0,33.4
DaeSean Hamilton,DEN,14.1,151.3,0.8,0.0,0.0,0.0,0.0,26.0
Jamal Agnew,DET,10.5,134.0,0.8,0.0,0.0,0.0,0.1,23.4
Christian Blake,ATL,18.9,180.8,1.2,0.0,0.0,0.0,0.0,30.9
Devin Smith,DAL,16.3,194.7,1.6,0.0,0.0,0.0,0.0,34.8
Isaiah McKenzie,BUF,13.0,135.5,0.9,4.2,25.6,0.1,0.0,24.1
Richie James,SF,7.7,96.0,0.6,2.9,20.3,0.2,0.0,20.1
KeeSean Johnson,ARI,14.0,185.0,1.0,0.0,0.0,0.0,0.1,29.1
Victor Bolden Jr.,DET,9.6,121.0,0.6,0.0,0.0,0.0,0.0,19.7
Taywan Taylor,CLE,10.0,119.0,1.0,0.0,0.0,0.0,0.0,22.3
Gabriel Davis,BUF,8.4,116.2,0.6,0.0,0.0,0.0,0.1,19.5
Pharoh Cooper,CAR,14.0,184.0,1.0,0.0,0.3,0.0,0.0,29.0
K.J. Hill,LAC,14.5,180.9,1.1,0.0,0.0,0.0,0.0,29.4
Seth Roberts,CAR,12.6,178.2,1.0,0.0,0.0,0.0,0.0,28.5
Hakeem Butler,ARI,13.0,163.1,1.1,0.0,0.0,0.0,0.1,26.7
Damion Ratley,CLE,13.5,163.7,1.0,0.0,0.0,0.0,0.0,26.6
Quez Watkins,PHI,13.6,164.8,1.0,0.0,0.0,0.0,0.0,27.6
Josh Malone,NYJ,8.5,102.5,0.6,0.0,0.0,0.0,0.0,17.6
Mack Hollins,MIA,8.6,106.6,0.5,0.0,0.0,0.0,0.0,17.6
Geremy Davis,DET,12.7,160.1,0.7,0.0,0.0,0.0,0.0,23.8
Andre Roberts,BUF,16.0,214.0,1.0,0.0,0.0,0.0,0.0,31.2
Darrius Shepherd,GB,7.3,96.6,0.5,0.0,0.0,0.0,0.0,16.0
