name,team,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fp_projection
Ryan Grant,WAS,0.0,0.3,0.0,9.9,126.8,0.4,0.4,19.3
Cody Latimer,DEN,0.0,0.0,0.0,11.1,119.7,0.3,0.1,19.3
Isaiah McKenzie,DEN,0.0,0.0,0.0,8.8,114.2,0.6,0.1,19.2
Quan Bray,IND,0.2,1.0,0.0,9.1,115.3,0.5,0.0,18.9
Pharoh Cooper,LAR,1.0,5.0,0.0,11.1,116.7,0.3,0.3,18.8
Josh Bellamy,CHI,0.0,0.2,0.0,8.1,106.5,0.5,0.1,17.6
Leonte Carroo,MIA,0.0,0.0,0.0,8.8,110.4,0.3,0.1,16.9
Josh Reynolds,LAR,0.0,0.0,0.0,9.0,115.7,0.3,0.6,16.7
Mack Hollins,PHI,0.0,0.0,0.0,7.9,92.7,0.4,0.0,15.6
Dwayne Harris,NYG,0.0,-0.1,0.0,7.3,92.0,0.5,0.3,15.4
Brandon Tate,BUF,0.1,1.4,0.0,6.5,85.2,0.6,0.1,15.3
Freddie Martino,TB,0.0,0.0,0.0,5.9,91.4,0.6,0.1,15.2
Tanner McEvoy,SEA,0.0,0.0,0.0,5.9,80.7,0.7,0.1,15.1
Cody Core,CIN,0.0,0.0,0.0,8.3,96.8,0.1,0.1,14.5
Corey Fuller,NO,0.0,0.0,0.0,6.5,88.5,0.6,0.5,14.4
Ryan Switzer,DAL,1.0,4.0,0.0,7.3,86.3,0.1,0.1,13.3
Austin Carr,NO,0.0,0.0,0.0,6.0,76.0,0.4,0.0,13.0
DeAngelo Yancey,GB,0.0,0.0,0.0,6.0,68.0,0.5,0.0,12.8
Carlos Henderson,DEN,0.0,0.0,0.0,7.0,89.0,0.0,0.0,12.4
Damiere Byrd,CAR,0.0,0.0,0.0,5.3,73.8,0.4,0.0,12.2
DeAndre Smelter,SF,0.0,0.0,0.0,5.2,69.8,0.4,0.0,12.0
Trevor Davis,GB,0.0,0.0,0.0,5.2,62.0,0.6,0.2,11.9
Robert Davis,WAS,0.0,0.0,0.0,5.0,70.0,0.4,0.1,11.7
David Moore,SEA,0.0,0.0,0.0,5.0,63.0,0.4,0.0,11.2
Walter Powell,BUF,0.0,0.0,0.0,6.1,68.4,0.3,0.4,11.0
Eric Weems,TEN,0.0,0.1,0.0,5.2,65.9,0.2,0.0,10.7
Tommylee Lewis,NO,0.1,0.4,0.0,6.2,69.8,0.1,0.1,10.5
Arrelious Benn,JAC,0.0,0.0,0.0,3.0,60.4,0.5,0.1,10.2
Jeff Janis,GB,0.1,1.4,0.0,5.4,67.7,0.1,0.1,10.2
Vince Mayle,BAL,0.0,0.0,0.0,4.9,61.6,0.3,0.0,10.2
Stacy Coley,MIN,0.0,0.0,0.0,5.0,56.0,0.3,0.0,9.9
Rodney Adams,MIN,0.0,0.0,0.0,5.0,56.0,0.3,0.0,9.9
Noah Brown,DAL,0.0,0.0,0.0,4.0,56.0,0.4,0.1,9.8
Shelton Gibson,PHI,0.0,0.0,0.0,5.0,54.0,0.3,0.0,9.7
Josh Malone,CIN,0.0,0.0,0.0,4.0,59.0,0.3,0.0,9.7
Tre McBride,CHI,0.0,0.1,0.0,4.2,49.6,0.4,0.1,9.5
Bryce Treggs,PHI,0.0,0.0,0.0,4.0,64.0,0.2,0.1,9.4
Jehu Chesson,KC,0.0,0.0,0.0,5.0,63.3,0.1,0.1,9.2
Chris Matthews,BAL,0.0,0.0,0.0,4.6,55.1,0.2,0.0,9.1
Aaron Burbridge,SF,0.0,0.0,0.0,5.3,65.4,0.1,0.3,9.0
Chris Moore,BAL,0.6,3.2,0.0,4.6,55.1,0.1,0.1,8.5
Tavarres King,NYG,0.0,0.0,0.0,4.3,56.4,0.1,0.0,8.4
Kaelin Clay,CAR,0.0,0.0,0.0,4.0,45.0,0.3,0.0,8.3
Brittan Golden,ARI,0.0,0.0,0.0,4.3,44.7,0.4,0.4,8.1
Rashad Greene,JAC,0.0,0.0,0.0,4.6,39.7,0.3,0.0,7.8
Geremy Davis,LAC,0.0,0.0,0.0,5.0,44.4,0.1,0.0,7.5
Bradley Marquez,LAR,0.0,0.3,0.0,4.1,44.3,0.2,0.0,7.4
De'Anthony Thomas,KC,0.4,2.0,0.0,5.0,40.0,0.2,0.1,7.4
Amara Darboh,SEA,0.0,0.0,0.0,3.5,44.5,0.2,0.0,7.4
Alex Erickson,CIN,0.0,0.0,0.0,3.9,47.0,0.1,0.1,7.1
Johnny Holton,OAK,0.6,2.8,0.0,3.7,48.4,0.1,0.6,6.5
Jakeem Grant,MIA,0.1,0.5,0.0,3.0,40.1,0.2,0.4,5.8
Aaron Dobson,ARI,0.0,0.0,0.0,3.0,36.5,0.1,0.1,5.3
Maurice Harris,WAS,0.0,0.0,0.0,3.0,28.0,0.1,0.1,4.4
Brenton Bersin,CAR,0.0,0.0,0.0,3.0,36.0,0.1,0.5,4.4
Byron Marshall,PHI,0.0,0.0,0.0,2.0,13.0,0.0,0.1,2.1
Josh Gordon,CLE,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.5
Matt Slater,NE,0.5,0.8,0.0,0.0,1.3,0.0,0.0,0.2
Kalif Raymond,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
