ecp,ecp_tier,player,team,pos,bye,sos,ecp_vs_adp

1,1,Justin Jefferson,MIN,WR1,13,3 out of 5 stars,0
2,1,Ja'Marr Chase,CIN,WR2,7,4 out of 5 stars,+1
3,1,Christian McCaffrey,SF,RB1,9,4 out of 5 stars,-1
4,1,Tyreek Hill,MIA,WR3,10,3 out of 5 stars,+3
5,1,Cooper Kupp,LAR,WR4,10,3 out of 5 stars,+1
6,2,Travis Kelce,KC,TE1,10,4 out of 5 stars,-1
7,2,Austin Ekeler,LAC,RB2,5,3 out of 5 stars,-3
8,2,Stefon Diggs,BUF,WR5,13,2 out of 5 stars,+2
9,2,CeeDee Lamb,DAL,WR6,7,2 out of 5 stars,+2
10,2,Amon-Ra St. Brown,DET,WR7,9,3 out of 5 stars,+8
11,2,Saquon Barkley,NYG,RB3,13,2 out of 5 stars,-3
12,2,A.J. Brown,PHI,WR8,10,3 out of 5 stars,+2
13,2,Davante Adams,LV,WR9,13,2 out of 5 stars,-1
14,3,Bijan Robinson,ATL,RB4,11,4 out of 5 stars,-5
15,3,Garrett Wilson,NYJ,WR10,7,3 out of 5 stars,+4
16,3,Tony Pollard,DAL,RB5,7,3 out of 5 stars,+1
17,3,Nick Chubb,CLE,RB6,5,3 out of 5 stars,-4
18,3,Jaylen Waddle,MIA,WR11,10,3 out of 5 stars,+6
19,3,Derrick Henry,TEN,RB7,7,4 out of 5 stars,-3
20,3,Chris Olave,NO,WR12,11,4 out of 5 stars,+8
21,4,DeVonta Smith,PHI,WR13,10,3 out of 5 stars,+4
22,4,Jonathan Taylor,IND,RB8,11,3 out of 5 stars,-2
23,4,Josh Jacobs,LV,RB9,13,3 out of 5 stars,-2
24,4,Keenan Allen,LAC,WR14,5,3 out of 5 stars,+19
25,4,Patrick Mahomes II,KC,QB1,10,3 out of 5 stars,-10
26,4,Tee Higgins,CIN,WR15,7,4 out of 5 stars,+4
27,4,Josh Allen,BUF,QB2,13,3 out of 5 stars,-5
28,4,Jalen Hurts,PHI,QB3,10,3 out of 5 stars,-5
29,4,DK Metcalf,SEA,WR16,5,3 out of 5 stars,+3
30,4,Mark Andrews,BAL,TE2,13,4 out of 5 stars,-4
31,4,Rhamondre Stevenson,NE,RB10,11,2 out of 5 stars,-2
32,4,Joe Mixon,CIN,RB11,7,3 out of 5 stars,+1
33,4,Najee Harris,PIT,RB12,6,3 out of 5 stars,-6
34,4,Amari Cooper,CLE,WR17,5,3 out of 5 stars,+7
35,4,Calvin Ridley,JAC,WR18,9,4 out of 5 stars,+5
36,5,Travis Etienne Jr.,JAC,RB13,9,2 out of 5 stars,-5
37,5,Jahmyr Gibbs,DET,RB14,9,5 out of 5 stars,-3
38,5,Lamar Jackson,BAL,QB4,13,3 out of 5 stars,-3
39,5,Deebo Samuel,SF,WR19,9,3 out of 5 stars,-1
40,5,Aaron Jones,GB,RB15,6,4 out of 5 stars,-1
41,5,DeAndre Hopkins,TEN,WR20,7,3 out of 5 stars,+10
42,5,Chris Godwin,TB,WR21,5,4 out of 5 stars,+27
43,5,Jerry Jeudy,DEN,WR22,9,2 out of 5 stars,+10
44,5,Terry McLaurin,WAS,WR23,14,3 out of 5 stars,+6
45,5,DJ Moore,CHI,WR24,13,3 out of 5 stars,+7
46,5,Drake London,ATL,WR25,11,4 out of 5 stars,+21
47,5,Joe Burrow,CIN,QB5,7,3 out of 5 stars,-11
48,5,Diontae Johnson,PIT,WR26,6,3 out of 5 stars,+31
49,5,Christian Watson,GB,WR27,6,3 out of 5 stars,+6
50,5,T.J. Hockenson,MIN,TE3,13,3 out of 5 stars,-8
51,5,Justin Fields,CHI,QB6,13,5 out of 5 stars,-7
52,6,Breece Hall,NYJ,RB16,7,3 out of 5 stars,-15
53,6,Justin Herbert,LAC,QB7,5,3 out of 5 stars,-7
54,6,Tyler Lockett,SEA,WR28,5,3 out of 5 stars,+19
55,6,Brandon Aiyuk,SF,WR29,9,3 out of 5 stars,+16
56,6,Mike Williams,LAC,WR30,5,3 out of 5 stars,+2
57,6,Christian Kirk,JAC,WR31,9,4 out of 5 stars,+19
58,6,Michael Pittman Jr.,IND,WR32,11,4 out of 5 stars,+22
59,6,Marquise Brown,ARI,WR33,14,3 out of 5 stars,+25
60,6,Miles Sanders,CAR,RB17,7,4 out of 5 stars,-12
61,6,Kenneth Walker III,SEA,RB18,5,2 out of 5 stars,-16
62,6,Mike Evans,TB,WR34,5,4 out of 5 stars,+10
63,6,Alexander Mattison,MIN,RB19,13,5 out of 5 stars,+3
64,6,Dameon Pierce,HOU,RB20,7,3 out of 5 stars,-17
65,6,Trevor Lawrence,JAC,QB8,9,3 out of 5 stars,-9
66,6,J.K. Dobbins,BAL,RB21,13,3 out of 5 stars,-1
67,6,Darren Waller,NYG,TE4,13,1 out of 5 stars,-13
68,6,Cam Akers,LAR,RB22,10,3 out of 5 stars,-7
69,6,George Kittle,SF,TE5,9,3 out of 5 stars,-20
70,6,James Conner,ARI,RB23,14,3 out of 5 stars,-8
71,6,Rachaad White,TB,RB24,5,3 out of 5 stars,-8
72,7,Jahan Dotson,WAS,WR35,14,3 out of 5 stars,+20
73,7,Dallas Goedert,PHI,TE6,10,2 out of 5 stars,-13
74,7,Jordan Addison,MIN,WR36,13,3 out of 5 stars,+17
75,7,Kyle Pitts,ATL,TE7,11,3 out of 5 stars,-16
76,7,George Pickens,PIT,WR37,6,3 out of 5 stars,+5
77,7,Alvin Kamara,NO,RB25,11,4 out of 5 stars,-20
78,7,Jaxon Smith-Njigba,SEA,WR38,5,3 out of 5 stars,+10
79,7,Javonte Williams,DEN,RB26,9,4 out of 5 stars,-5
80,7,Brandin Cooks,DAL,WR39,7,2 out of 5 stars,+14
