player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Patrick Laird,TB,4.3,18.0,0.2,4.4,31.7,0.2,0.0,11.0
Jason Cabinda,DET,4.6,19.4,0.2,4.5,33.4,0.3,0.0,14.5
Larry Rountree III,HOU,4.3,17.6,0.0,4.8,36.0,0.2,0.0,11.8
Giovanni Ricci,CAR,4.7,19.6,0.2,4.1,30.0,0.2,0.0,11.0
Spencer Brown,CAR,4.7,19.7,0.2,4.1,28.6,0.2,0.0,10.8
Nate McCrary,GB,5.4,22.6,0.1,3.8,28.5,0.2,0.0,10.4
Gerrid Doaks,HOU,4.7,19.7,0.1,4.0,27.8,0.2,0.0,10.3
Avery Williams,ATL,5.4,23.1,0.2,3.4,22.1,0.2,0.0,9.7
Jaret Patterson,WAS,10.1,42.5,0.2,4.0,27.2,0.2,0.0,11.8
Jonathan Ward,TEN,10.1,42.8,0.2,1.9,14.0,0.1,0.0,9.2
Adam Prentice,NO,0.0,12.1,0.1,4.0,19.1,0.2,0.0,12.9
Henry Pearson,GB,0.0,13.1,0.1,3.7,16.4,0.2,0.0,12.5
Michael Burton,DEN,4.7,19.8,0.2,4.1,29.9,0.2,0.0,10.4
Jack Colletto,SF,0.0,7.3,0.1,3.6,16.3,0.2,0.0,11.3
Jakob Johnson,LV,0.0,2.0,0.0,4.5,16.0,0.2,0.0,12.0
Jason Huntley,IND,5.0,21.0,0.2,3.9,28.0,0.2,0.0,8.8
Khari Blasingame,CHI,5.7,24.2,0.2,3.0,21.4,0.2,0.0,9.0
Keith Smith,ATL,5.4,22.8,0.2,3.4,21.5,0.2,0.0,9.0
Ellis Merriweather,NO,0.0,10.2,0.1,0.5,3.7,0.0,0.0,3.0
Tyler Goodson,GB,0.0,10.2,0.1,0.5,2.6,0.0,0.0,2.9
Dwayne Washington,DEN,0.0,3.6,0.0,0.5,4.4,0.0,0.0,1.9
Clint Ratkovich,ATL,0.0,0.0,0.0,0.2,1.4,0.0,0.0,0.7
Nick Bellore,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8
Keaton Mitchell,BAL,32.3,103.5,0.0,0.0,38.4,0.0,0.2,0.0
Israel Abanikanda,NYJ,94.3,352.4,0.3,0.0,130.8,0.1,0.5,0.0
Kenny McIntosh,SEA,49.0,164.8,0.0,0.0,61.1,0.0,0.3,0.0
Darrel Williams,NO,36.7,117.1,0.0,0.0,72.6,0.0,0.2,0.0
