rank,"Tier","WSID",player,team,pos,bye,best,worst,ecp,ecp_std_dev,adp,ecp_vs_adp
24,3,,Allen Robinson,CHI,WR8,11,10,79,26.5,6.7,28.0,+4.0
25,4,,Patrick Mahomes,KC,QB1,10,15,61,28.3,7.8,16.0,-9.0
26,4,,Mike Evans,TB,WR9,13,15,72,29.4,7.8,26.0,0.0
27,4,,Lamar Jackson,BAL,QB2,8,6,70,30.1,9.6,20.0,-7.0
28,4,,Chris Carson,SEA,RB15,6,16,66,31.6,8.8,34.0,+6.0
29,4,,Adam Thielen,MIN,WR10,7,18,49,31.9,6.0,31.0,+2.0
30,4,,D.J. Moore,CAR,WR11,13,15,96,33.5,10.3,33.0,+3.0
31,4,,JuJu Smith-Schuster,PIT,WR12,8,12,82,33.5,9.2,30.0,-1.0
32,4,,Odell Beckham Jr.,CLE,WR13,9,16,83,33.8,8.1,27.0,-5.0
33,4,,James Conner,PIT,RB16,8,10,78,34.2,9.6,42.0,+9.0
34,4,,Amari Cooper,DAL,WR14,10,15,73,34.7,10.0,32.0,-2.0
35,4,,Leonard Fournette,JAC,RB17,7,10,65,35.1,10.6,37.0,+2.0
36,4,,Todd Gurley,ATL,RB18,10,7,78,35.1,10.2,29.0,-7.0
37,4,,Robert Woods,LAR,WR15,9,16,86,38.6,9.9,58.0,+21.0
38,4,,Melvin Gordon,DEN,RB19,8,24,80,40.0,8.4,38.0,0.0
39,4,,Calvin Ridley,ATL,WR16,10,16,82,40.5,9.5,43.0,+4.0
40,4,,Jonathan Taylor,IND,RB20,7,18,177,40.7,10.7,40.0,0.0
41,4,,David Johnson,HOU,RB21,8,13,84,41.3,9.8,53.0,+12.0
42,5,,A.J. Brown,TEN,WR17,7,15,87,41.4,10.1,35.0,-7.0
43,5,,Le'Veon Bell,NYJ,RB22,11,19,73,41.8,9.3,44.0,+1.0
44,5,,Cooper Kupp,LAR,WR18,9,11,93,42.7,10.5,39.0,-5.0
45,5,,Mark Andrews,BAL,TE3,8,17,71,44.8,8.5,36.0,-9.0
46,5,,Tyler Lockett,SEA,WR19,6,24,72,48.6,8.5,48.0,+2.0
47,5,,Terry McLaurin,WAS,WR20,8,13,81,49.7,12.6,57.0,+10.0
48,5,,Mark Ingram II,BAL,RB23,8,21,104,49.7,12.1,46.0,-2.0
49,5,,Zach Ertz,PHI,TE4,9,27,120,50.2,7.0,41.0,-8.0
50,5,,D.J. Chark,JAC,WR21,7,25,77,50.7,11.4,51.0,+1.0
51,5,,Courtland Sutton,DEN,WR22,8,33,129,55.7,14.8,45.0,-6.0
52,5,,Keenan Allen,LAC,WR23,10,30,94,56.6,12.6,49.0,-3.0
53,5,,D.K. Metcalf,SEA,WR24,6,28,120,56.6,14.5,55.0,+2.0
54,5,,Dak Prescott,DAL,QB3,10,25,79,57.2,8.1,47.0,-7.0
55,5,,DeVante Parker,MIA,WR25,11,25,112,58.1,13.6,50.0,-5.0
56,5,,David Montgomery,CHI,RB24,11,27,153,58.4,16.8,64.0,+8.0
57,5,,D'Andre Swift,DET,RB25,5,27,178,58.5,12.7,65.0,+8.0
58,5,,Raheem Mostert,SF,RB26,11,31,179,59.2,14.8,60.0,+2.0
59,5,,Kareem Hunt,CLE,RB27,9,34,132,59.4,11.6,72.0,+13.0
60,6,,Devin Singletary,BUF,RB28,11,31,130,60.7,15.3,61.0,+1.0
61,6,,Cam Akers,LAR,RB29,9,28,180,61.4,13.4,70.0,+9.0
62,6,,Darren Waller,LV,TE5,6,40,185,62.4,13.7,54.0,-8.0
63,6,,Russell Wilson,SEA,QB4,6,38,88,63.0,7.7,52.0,-11.0
64,6,,Kyler Murray,ARI,QB5,8,19,112,64.6,8.1,56.0,-8.0
65,6,,T.Y. Hilton,IND,WR26,7,29,126,65.0,14.7,62.0,-3.0
66,6,,Ronald Jones II,TB,RB30,13,36,170,66.5,15.4,88.0,+22.0
67,6,,Deshaun Watson,HOU,QB6,8,39,100,66.6,8.3,59.0,-8.0
68,6,,Stefon Diggs,BUF,WR27,11,30,108,68.4,11.6,63.0,-5.0
69,6,,Jarvis Landry,CLE,WR28,9,44,127,74.8,12.4,75.0,+6.0
70,6,,Michael Gallup,DAL,WR29,10,33,138,76.2,16.1,73.0,+3.0
71,6,,Tyler Boyd,CIN,WR30,9,41,143,76.8,13.5,74.0,+3.0
72,6,,Evan Engram,NYG,TE6,11,40,207,78.0,23.2,78.0,+6.0
73,6,,Marquise Brown,BAL,WR31,8,39,141,78.1,16.8,77.0,+4.0
74,6,,Matt Ryan,ATL,QB7,10,44,161,80.5,14.1,76.0,+2.0
75,6,,A.J. Green,CIN,WR32,9,35,173,80.7,19.8,68.0,-7.0
76,6,,James White,NE,RB31,6,47,186,81.7,19.6,95.0,+19.0
77,6,,Jordan Howard,MIA,RB32,11,47,159,82.8,17.6,90.0,+13.0
78,6,,Josh Allen,BUF,QB8,11,49,114,79.4,11.0,67.0,-11.0
79,6,,Julian Edelman,NE,WR33,6,41,132,84.3,16.7,82.0,+3.0
80,6,,Hunter Henry,LAC,TE7,10,51,179,85.5,19.4,66.0,-14.0
81,6,,Tyler Higbee,LAR,TE8,9,46,138,85.8,20.6,69.0,-12.0
82,7,,Will Fuller,HOU,WR34,8,50,148,87.2,19.8,84.0,+2.0
83,7,,Marvin Jones,DET,WR35,5,53,144,88.7,14.3,94.0,+11.0
84,7,,J.K. Dobbins,BAL,RB33,8,44,227,89.1,26.0,97.0,+13.0
85,7,,Drew Brees,NO,QB9,6,66,131,91.8,13.0,71.0,-14.0
86,7,,Carson Wentz,PHI,QB10,9,55,116,90.2,11.7,87.0,+1.0
87,7,,Matt Breida,MIA,RB34,11,53,191,94.0,21.0,89.0,+2.0
88,7,,Tom Brady,TB,QB11,13,62,161,95.5,16.6,83.0,-5.0
89,7,,Tarik Cohen,CHI,RB35,11,54,227,92.6,25.8,110.0,+21.0
90,7,,Brandin Cooks,HOU,WR36,8,47,193,97.2,24.4,91.0,+1.0
91,7,,Phillip Lindsay,DEN,RB36,8,58,234,94.1,26.3,92.0,+1.0
92,7,,Hayden Hurst,ATL,TE9,10,51,282,102.1,34.4,112.0,+20.0
93,7,,Zack Moss,BUF,RB37,11,42,346,103.2,23.3,131.0,+38.0
94,7,,Matthew Stafford,DET,QB12,5,66,172,100.2,15.7,99.0,+5.0
95,7,,Kerryon Johnson,DET,RB38,5,40,235,100.9,25.5,107.0,+12.0
96,7,,Diontae Johnson,PIT,WR37,8,64,234,105.0,24.3,105.0,+9.0
97,7,,Tevin Coleman,SF,RB39,11,62,217,98.8,22.9,111.0,+14.0
98,7,,Christian Kirk,ARI,WR38,8,67,183,106.2,19.9,119.0,+21.0
99,7,,Jamison Crowder,NYJ,WR39,11,69,253,107.7,22.5,121.0,+22.0
100,7,,Aaron Rodgers,GB,QB13,5,62,167,104.7,16.9,85.0,-15.0
101,7,,Marlon Mack,IND,RB40,7,44,223,102.5,28.4,100.0,-1.0
102,7,,Jared Cook,NO,TE10,6,48,190,107.0,25.0,79.0,-23.0
103,7,,Latavius Murray,NO,RB41,6,66,223,108.0,27.0,120.0,+17.0
104,7,,Mike Gesicki,MIA,TE11,11,53,232,112.8,28.0,122.0,+18.0
105,8,,John Brown,BUF,WR40,11,56,184,114.7,22.1,96.0,-9.0
106,8,,Rob Gronkowski,TB,TE12,13,63,291,116.6,36.7,81.0,-25.0
107,8,,Sterling Shepard,NYG,WR41,11,68,211,117.5,24.6,134.0,+27.0
108,8,,Austin Hooper,CLE,TE13,9,61,229,117.6,26.7,98.0,-10.0
109,8,,Ben Roethlisberger,PIT,QB14,8,87,186,118.7,17.3,116.0,+7.0
110,8,,Darius Slayton,NYG,WR42,11,64,230,122.4,26.3,101.0,-9.0
111,8,,Emmanuel Sanders,NO,WR43,6,84,210,123.0,22.6,109.0,-2.0
112,8,,Deebo Samuel,SF,WR44,11,68,205,123.5,25.9,80.0,-32.0
113,8,,Daniel Jones,NYG,QB15,11,72,191,119.8,21.4,140.0,+27.0
114,8,,Duke Johnson,HOU,RB42,8,82,232,123.6,28.8,153.0,+39.0
115,8,,Mike Williams,LAC,WR45,10,55,225,123.7,28.2,125.0,+10.0
116,8,,Antonio Gibson,WAS,RB43,8,44,234,120.6,43.1,169.0,+53.0
117,8,,Jared Goff,LAR,QB16,9,82,163,122.8,16.2,147.0,+30.0
118,8,,Anthony Miller,CHI,WR46,11,75,232,123.1,27.6,155.0,+37.0
119,8,,Adrian Peterson,WAS,RB44,8,50,228,120.6,33.8,144.0,+25.0
120,8,,Alexander Mattison,MIN,RB45,7,85,240,124.9,29.8,123.0,+3.0
121,8,,Cam Newton,NE,QB17,6,67,197,115.8,22.9,161.0,+40.0
122,8,,CeeDee Lamb,DAL,WR47,10,63,293,126.7,31.0,103.0,-19.0
123,8,,Sony Michel,NE,RB46,6,58,216,117.5,32.5,86.0,-37.0
124,8,,Darrell Henderson,LAR,RB47,9,58,233,121.3,29.5,118.0,-6.0
125,8,,Jonnu Smith,TEN,TE14,7,60,282,132.9,30.8,148.0,+23.0
126,8,,Ryan Tannehill,TEN,QB18,7,80,172,130.1,18.8,137.0,+11.0
127,8,,Golden Tate,NYG,WR48,11,73,258,136.8,27.6,145.0,+18.0
128,8,,T.J. Hockenson,DET,TE15,5,78,232,127.2,23.7,135.0,+7.0
129,8,,Tony Pollard,DAL,RB48,10,82,238,133.5,28.4,143.0,+14.0
130,8,,Baker Mayfield,CLE,QB19,9,76,197,128.2,21.6,124.0,-6.0
131,8,,Jalen Reagor,PHI,WR49,9,58,295,135.3,39.0,141.0,+10.0
132,8,,Dallas Goedert,PHI,TE16,9,46,241,135.4,25.0,154.0,+22.0
133,8,,Preston Williams,MIA,WR50,11,81,268,136.5,25.2,152.0,+19.0
134,8,,Noah Fant,DEN,TE17,8,63,236,130.3,23.8,115.0,-19.0
135,8,,Boston Scott,PHI,RB49,9,79,348,130.8,37.4,172.0,+37.0
136,8,,Joe Burrow,CIN,QB20,9,78,207,139.5,23.8,128.0,-8.0
137,8,,Chase Edmonds,ARI,RB50,8,83,230,142.5,31.8,164.0,+27.0
138,8,,Ke'Shawn Vaughn,TB,RB51,13,56,344,133.1,51.2,102.0,-36.0
139,8,,Henry Ruggs III,LV,WR51,6,71,242,143.9,35.6,129.0,-10.0
140,8,,Jerry Jeudy,DEN,WR52,8,86,231,138.8,25.7,108.0,-32.0
141,8,,Blake Jarwin,DAL,TE18,10,52,291,145.4,33.6,179.0,+38.0
142,8,,Mecole Hardman,KC,WR53,10,81,245,148.7,31.9,142.0,0.0
143,9,,Damien Harris,NE,RB52,6,66,289,151.0,50.2,184.0,+41.0
144,9,,Gardner Minshew II,JAC,QB21,7,77,345,154.4,38.6,136.0,-8.0
145,9,,Nyheim Hines,IND,RB53,7,68,199,141.8,27.0,189.0,+44.0
146,9,,Kirk Cousins,MIN,QB22,7,70,241,148.8,21.8,157.0,+11.0
147,9,,Curtis Samuel,CAR,WR54,13,99,236,153.6,28.5,177.0,+30.0
148,9,,Chris Herndon IV,NYJ,TE19,11,93,288,154.5,32.6,201.0,+53.0
149,9,,Breshad Perriman,NYJ,WR55,11,94,261,155.2,29.3,175.0,+26.0
150,9,,Jack Doyle,IND,TE20,7,104,247,149.8,24.5,180.0,+30.0
151,9,,Jimmy Garoppolo,SF,QB23,11,87,254,156.4,24.9,138.0,-13.0
152,9,,Allen Lazard,GB,WR56,5,89,311,163.3,33.4,194.0,+42.0
153,9,,Brandon Aiyuk,SF,WR57,11,86,304,169.7,37.7,208.0,+55.0
154,9,,Robby Anderson,CAR,WR58,13,79,254,158.5,29.3,159.0,+5.0
155,9,,N'Keal Harry,NE,WR59,6,75,249,166.2,29.1,190.0,+35.0
156,9,,Justin Jefferson,MIN,WR60,7,72,290,150.0,32.6,130.0,-26.0
157,9,,Philip Rivers,IND,QB24,7,101,284,164.3,29.1,149.0,-8.0
158,9,,Eric Ebron,PIT,TE21,8,69,245,161.3,29.6,163.0,+5.0
159,9,,Drew Lock,DEN,QB25,8,93,269,164.9,28.2,162.0,+3.0
160,9,,San Francisco (SF),,DST1,11,58,196,142.0,16.1,93.0,-67.0
161,9,,Justin Jackson,LAC,RB54,10,86,256,159.8,37.3,193.0,+32.0
162,9,,A.J. Dillon,GB,RB55,5,50,285,167.7,40.7,182.0,+20.0
163,9,,Teddy Bridgewater,CAR,QB26,13,94,276,172.6,30.5,160.0,-3.0
164,9,,Pittsburgh (PIT),,DST2,8,56,200,146.5,16.7,104.0,-60.0
165,9,,DeSean Jackson,PHI,WR61,9,88,328,167.3,36.9,165.0,0.0
166,9,,Baltimore (BAL),,DST3,8,61,195,149.6,14.7,106.0,-60.0
167,9,,Sammy Watkins,KC,WR62,10,86,254,170.5,26.4,151.0,-16.0
168,9,,Parris Campbell,IND,WR63,7,108,255,178.1,28.0,212.0,+44.0
169,9,,Buffalo (BUF),,DST4,11,63,255,159.7,18.3,117.0,-52.0
170,9,,Ian Thomas,CAR,TE22,13,119,350,177.5,39.9,192.0,+22.0
171,9,,Sam Darnold,NYJ,QB27,11,97,274,186.6,33.2,166.0,-5.0
172,9,,New England (NE),,DST5,6,66,202,161.0,18.6,133.0,-39.0
173,9,,Derek Carr,LV,QB28,6,92,280,186.3,41.6,174.0,+1.0
174,9,,Harrison Butker,KC,K1,10,70,248,170.9,17.2,114.0,-60.0
175,10,,Michael Pittman Jr.,IND,WR64,7,82,341,186.9,34.5,187.0,+12.0
176,10,,Carlos Hyde,SEA,RB56,6,81,349,181.4,44.5,202.0,+26.0
177,10,,Chicago (CHI),,DST6,11,93,248,168.5,21.3,127.0,-50.0
178,10,,Larry Fitzgerald,ARI,WR65,8,128,261,188.5,28.0,170.0,-8.0
179,10,,Darrynton Evans,TEN,RB57,7,115,352,179.9,42.3,227.0,+48.0
180,10,,Justin Tucker,BAL,K2,8,75,215,170.8,15.6,113.0,-67.0
181,10,,New Orleans (NO),,DST7,6,97,211,174.4,19.4,146.0,-35.0
182,10,,Irv Smith Jr.,MIN,TE23,7,114,283,184.7,35.2,213.0,+31.0
183,10,,James Washington,PIT,WR66,8,99,260,191.3,28.0,217.0,+34.0
184,10,,Jamaal Williams,GB,RB58,5,101,320,181.2,43.5,197.0,+13.0
185,10,,Joshua Kelley,LAC,RB59,10,81,350,182.8,42.9,246.0,+61.0
186,10,,Kansas City (KC),,DST8,10,73,278,179.2,23.1,150.0,-36.0
187,10,,Wil Lutz,NO,K3,6,79,245,179.6,16.5,126.0,-61.0
188,10,,Giovani Bernard,CIN,RB60,9,126,293,191.2,35.6,241.0,+53.0
189,10,,Greg Zuerlein,DAL,K4,10,87,217,184.0,15.8,132.0,-57.0
190,10,,Dede Westbrook,JAC,WR67,7,96,297,194.1,29.1,196.0,+6.0
191,10,,Alshon Jeffery,PHI,WR68,9,81,284,191.6,38.0,156.0,-35.0
192,10,,Greg Olsen,SEA,TE24,6,121,296,194.8,37.0,183.0,-9.0
193,10,,Minnesota (MIN),,DST9,7,133,250,186.5,26.0,167.0,-26.0
194,10,,Randall Cobb,HOU,WR69,8,122,263,197.4,25.5,229.0,+35.0
195,10,,Corey Davis,TEN,WR70,7,107,257,195.2,24.1,206.0,+11.0
196,10,,Hunter Renfrow,LV,WR71,6,113,279,196.4,33.6,178.0,-18.0
197,10,,Los Angeles (LAR),,DST10,9,105,245,187.3,25.7,215.0,+18.0
198,10,,Anthony McFarland Jr.,PIT,RB61,8,126,347,194.5,42.5,237.0,+39.0
199,10,,Laviska Shenault Jr.,JAC,WR72,7,109,346,210.1,37.8,239.0,+40.0
200,10,,DeAndre Washington,KC,RB62,10,99,287,195.9,51.6,285.0,+85.0
201,10,,Robbie Gould,SF,K5,11,102,263,200.0,18.9,158.0,-43.0
202,10,,Denver (DEN),,DST11,8,100,250,200.2,21.0,236.0,+34.0
203,10,,Steven Sims,WAS,WR73,8,109,367,207.4,47.6,310.0,+107.0
204,10,,O.J. Howard,TB,TE25,13,63,301,205.4,37.0,186.0,-18.0
205,10,,Chris Thompson,JAC,RB63,7,110,300,200.3,44.1,260.0,+55.0
206,10,,Cole Beasley,BUF,WR74,11,137,277,206.9,24.5,234.0,+28.0
207,10,,Tyrell Williams,LV,WR75,6,89,346,209.0,31.8,219.0,+12.0
208,10,,Denzel Mims,NYJ,WR76,11,111,307,206.4,30.3,198.0,-10.0
209,10,,Tennessee (TEN),,DST12,7,111,297,212.4,23.5,250.0,+41.0
210,10,,Philadelphia (PHI),,DST13,9,101,311,203.5,23.3,243.0,+33.0
211,10,,Matt Gay,TB,K6,13,95,300,207.1,22.4,205.0,-6.0
212,10,,Dwayne Haskins,WAS,QB29,8,103,317,226.8,41.3,277.0,+65.0
213,10,,Matt Prater,DET,K7,5,104,324,210.9,23.3,176.0,-37.0
214,10,,Los Angeles (LAC),,DST14,10,92,266,195.3,28.0,231.0,+17.0
215,10,,Malcolm Brown,LAR,RB64,9,124,307,208.1,36.6,232.0,+17.0
216,10,,John Ross,CIN,WR77,9,149,338,211.0,29.6,204.0,-12.0
217,10,,Jace Sternberger,GB,TE26,5,135,325,211.1,43.6,259.0,+42.0
218,10,,Dawson Knox,BUF,TE27,11,134,300,222.8,33.6,240.0,+22.0
219,10,,Jake Elliott,PHI,K8,9,137,252,215.1,19.6,254.0,+35.0
220,10,,Zane Gonzalez,ARI,K9,8,114,308,218.7,29.1,195.0,-25.0
221,10,,Tyrod Taylor,LAC,QB30,10,114,333,229.2,44.8,251.0,+30.0
222,10,,Ka'imi Fairbairn,HOU,K10,8,119,300,218.9,21.1,199.0,-23.0
223,10,,Ryquell Armstead,JAC,RB65,7,141,326,216.1,42.5,224.0,+1.0
224,10,,Benny Snell Jr.,PIT,RB66,8,130,297,217.2,37.1,263.0,+39.0
225,10,,Gerald Everett,LAR,TE28,9,94,336,226.8,40.2,282.0,+57.0
226,10,,Kenny Stills,HOU,WR78,8,134,351,218.8,28.8,223.0,-3.0
227,10,,Rashaad Penny,SEA,RB67,6,119,368,211.4,47.7,200.0,-27.0
228,11,,Kyle Rudolph,MIN,TE29,7,100,339,226.3,35.2,171.0,-57.0
229,11,,Mohamed Sanu,NE,WR79,6,123,299,215.2,26.0,245.0,+16.0
230,11,,Seattle (SEA),,DST15,6,135,292,219.5,27.8,252.0,+22.0
231,11,,Indianapolis (IND),,DST16,7,65,279,217.3,29.0,276.0,+45.0
232,11,,Bryce Love,WAS,RB68,8,60,329,212.0,60.9,320.0,+88.0
233,11,,Green Bay (GB),,DST17,5,116,307,227.8,24.0,216.0,-17.0
234,11,,Jerick McKinnon,SF,RB69,11,121,353,223.8,51.1,214.0,-20.0
235,11,,Dan Bailey,MIN,K11,7,138,280,232.9,22.7,273.0,+38.0
236,11,,Jalen Richard,LV,RB70,6,135,335,220.9,38.4,261.0,+25.0
237,11,,Tampa Bay (TB),,DST18,13,64,342,229.6,35.9,279.0,+42.0
238,11,,Ito Smith,ATL,RB71,10,123,310,222.3,38.3,278.0,+40.0
239,11,,Tee Higgins,CIN,WR80,9,127,370,225.9,36.3,209.0,-30.0
240,11,,Michael Badgley,LAC,K12,10,110,289,229.5,28.1,188.0,-52.0
241,11,,Younghoe Koo,ATL,K13,10,155,324,232.3,32.6,283.0,+42.0
242,11,,Will Dissly,SEA,TE30,6,75,293,224.8,40.6,191.0,-51.0
243,11,,Ryan Fitzpatrick,MIA,QB31,11,143,358,248.5,46.2,242.0,-1.0
244,11,,Mason Crosby,GB,K14,5,125,303,233.4,25.7,218.0,-26.0
245,11,,Dallas (DAL),,DST19,10,120,312,238.1,32.0,271.0,+26.0
246,11,,Brandon McManus,DEN,K15,8,134,295,240.5,26.8,269.0,+23.0
247,11,,Cleveland (CLE),,DST20,9,143,309,240.7,30.8,272.0,+25.0
248,11,,Jason Myers,SEA,K16,6,159,286,241.3,26.3,287.0,+39.0
249,11,,Danny Amendola,DET,WR81,5,166,349,229.9,33.0,274.0,+25.0
250,11,,Nick Foles,CHI,QB32,11,136,352,256.3,40.2,306.0,+56.0
251,11,,Rex Burkhead,NE,RB72,6,119,329,234.8,38.0,292.0,+41.0
252,11,,Chris Boswell,PIT,K17,8,159,305,250.1,31.4,289.0,+37.0
253,11,,Jimmy Graham,CHI,TE31,11,133,302,243.7,30.2,173.0,-80.0
254,11,,Miles Boykin,BAL,WR82,8,168,361,238.9,34.8,290.0,+36.0
255,11,,Royce Freeman,DEN,RB73,8,112,336,236.7,46.4,244.0,-11.0
256,11,,New York (NYJ),,DST21,11,161,314,239.5,36.8,247.0,-9.0
257,11,,Justice Hill,BAL,RB74,8,115,365,237.2,53.4,226.0,-31.0
258,11,,Chris Conley,JAC,WR83,7,184,307,237.5,24.6,284.0,+26.0
259,11,,Russell Gage,ATL,WR84,10,166,337,240.6,38.2,317.0,+58.0
260,11,,Gus Edwards,BAL,RB75,8,129,328,246.5,36.7,265.0,+5.0
261,11,,Josh Reynolds,LAR,WR85,9,178,304,233.0,26.2,264.0,+3.0
262,11,,David Njoku,CLE,TE32,9,106,351,250.4,44.2,262.0,0.0
263,11,,Joey Slye,CAR,K18,13,136,339,257.4,29.0,280.0,+17.0
264,11,,Tre'Quan Smith,NO,WR86,6,164,401,249.8,39.1,275.0,+11.0
265,11,,Dion Lewis,NYG,RB76,11,169,339,253.1,28.8,268.0,+3.0
266,11,,Tua Tagovailoa,MIA,QB33,11,105,355,270.4,49.2,185.0,-81.0
267,11,,Tyler Eifert,JAC,TE33,7,131,334,244.5,42.3,322.0,+55.0
268,11,,Jaylen Samuels,PIT,RB77,8,124,363,251.5,43.9,267.0,-1.0
269,11,,Andy Isabella,ARI,WR87,8,134,437,250.8,41.9,258.0,-11.0
270,11,,Houston (HOU),,DST22,8,150,311,265.1,30.7,302.0,+32.0
271,11,,Darwin Thompson,KC,RB78,10,160,372,257.5,39.3,296.0,+25.0
272,11,,Washington (WAS),,DST23,8,140,355,270.9,39.3,221.0,-51.0
273,11,,Austin Seibert,CLE,K19,9,179,338,271.2,25.9,257.0,-16.0
274,11,,Josh Lambo,JAC,K20,7,170,325,268.7,31.3,307.0,+33.0
275,11,,Stephen Hauschka,FA,K21,,167,304,265.5,27.3,210.0,-65.0
276,12,,Adam Humphries,TEN,WR88,7,178,369,255.3,35.0,311.0,+35.0
277,12,,LeSean McCoy,TB,RB79,13,100,329,237.9,53.6,181.0,-96.0
278,12,,KJ Hamler,DEN,WR89,8,176,373,260.8,38.9,286.0,+8.0
279,12,,Peyton Barber,WAS,RB80,8,121,336,260.7,43.2,301.0,+22.0
280,12,,Phillip Dorsett,SEA,WR90,6,207,374,266.4,30.8,309.0,+29.0
281,12,,Bryan Edwards,LV,WR91,6,107,387,227.2,57.2,220.0,-61.0
282,12,,Marquez Valdes-Scantling,GB,WR92,5,134,371,260.1,34.1,315.0,+33.0
283,12,,Jacksonville (JAC),,DST24,7,143,323,279.0,35.0,327.0,+44.0
284,12,,Mitch Trubisky,CHI,QB34,11,130,357,290.4,45.4,314.0,+30.0
285,12,,Frank Gore,NYJ,RB81,11,143,359,266.4,51.8,270.0,-15.0
286,12,,Vance McDonald,PIT,TE34,8,135,349,271.8,35.6,291.0,+5.0
287,12,,Lamar Miller,NE,RB82,6,87,335,251.0,65.1,207.0,-80.0
288,12,,Dare Ogunbowale,TB,RB83,13,149,341,266.8,39.9,330.0,+42.0
289,12,,Chase Claypool,PIT,WR93,8,155,410,258.1,40.0,256.0,-33.0
290,12,,Atlanta (ATL),,DST25,10,183,333,285.8,35.1,228.0,-62.0
291,12,,Brian Hill,ATL,RB84,10,141,348,268.8,37.2,255.0,-36.0
292,12,,Zach Pascal,IND,WR94,7,200,387,270.7,40.8,299.0,+7.0
293,12,,Detroit (DET),,DST26,5,192,330,291.5,32.7,248.0,-45.0
294,12,,Auden Tate,CIN,WR95,9,157,386,267.2,38.6,297.0,+3.0
295,12,,Darrel Williams,KC,RB85,10,89,393,277.4,54.9,347.0,+52.0
296,12,,Devonta Freeman,FA,RB86,,118,368,256.5,51.1,211.0,-85.0
297,12,,J.J. Arcega-Whiteside,PHI,WR96,9,156,519,279.7,42.8,326.0,+29.0
298,12,,Daniel Carlson,LV,K22,6,203,331,283.6,31.2,339.0,+41.0
299,12,,Carolina (CAR),,DST27,13,177,347,291.6,39.3,360.0,+61.0
300,12,,Justin Herbert,LAC,QB35,10,142,350,292.0,46.8,300.0,0.0
301,12,,Brett Maher,NYJ,K23,11,168,328,283.2,37.5,365.0,+64.0
302,12,,Dustin Hopkins,WAS,K24,8,209,353,293.0,32.8,336.0,+34.0
303,12,,Lynn Bowden Jr.,LV,RB87,6,130,348,251.8,57.5,235.0,-68.0
304,12,,Cameron Brate,TB,TE35,13,228,352,288.1,31.0,312.0,+8.0
305,12,,Kendrick Bourne,SF,WR97,11,153,400,270.8,54.7,324.0,+19.0
306,12,,Demarcus Robinson,KC,WR98,10,214,444,283.8,37.4,321.0,+15.0
307,12,,Chase McLaughlin,IND,K25,7,205,335,281.6,33.0,281.0,-26.0
308,12,,Antonio Gandy-Golden,WAS,WR99,8,164,383,278.4,43.4,344.0,+36.0
309,12,,Mike Boone,MIN,RB88,7,177,335,286.8,25.6,331.0,+22.0
310,12,,Darren Fells,HOU,TE36,8,166,341,265.0,41.2,329.0,+19.0
311,12,,Nelson Agholor,LV,WR100,6,166,524,288.2,49.8,305.0,-6.0
312,12,,Lamical Perine,NYJ,RB89,11,170,363,286.6,35.0,303.0,-9.0
313,12,,Devin Duvernay,BAL,WR101,8,158,496,286.4,49.9,230.0,-83.0
314,12,,David Moore,SEA,WR102,6,216,388,288.7,31.5,323.0,+9.0
315,12,,Arizona (ARI),,DST28,8,193,344,295.4,38.1,353.0,+38.0
