player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Dyami Brown,WAS,16.5,195.9,1.2,0.0,0.0,0.0,0.2,53.3
Richie James Jr.,SF,11.1,155.0,0.9,0.0,0.0,0.0,4.0,44.3
Preston Williams,MIA,11.7,158.6,1.1,0.0,0.0,0.0,1.0,44.4
Kadarius Toney,NYG,12.1,146.8,0.9,5.0,35.0,0.0,0.3,44.8
Cordarrelle Patterson,ATL,5.0,66.6,0.3,54.0,225.0,2.0,0.0,36.6
Byron Pringle,KC,16.8,207.1,1.5,0.0,0.0,0.0,0.2,51.2
Willie Snead IV,LV,17.3,204.7,1.1,0.0,0.0,0.0,0.2,51.0
Auden Tate,CIN,15.5,225.1,1.0,0.0,0.0,0.0,0.2,50.5
Isaiah Coulter,CHI,0.7,9.2,0.0,0.0,0.0,0.0,1.0,19.6
Isaiah McKenzie,BUF,12.2,123.2,1.0,0.0,0.0,0.0,0.1,39.3
Phillip Dorsett II,JAC,19.6,231.1,1.5,0.0,0.0,0.0,0.0,51.1
Tutu Atwell,LAR,15.0,185.0,1.0,0.0,0.0,0.0,0.1,43.4
Scotty Miller,TB,11.1,149.3,1.0,0.0,0.0,0.0,0.1,38.3
Freddie Swain,SEA,10.6,133.9,1.0,0.0,0.0,0.0,0.1,35.8
Dede Westbrook,MIN,14.0,143.9,0.9,0.0,0.0,0.0,0.1,39.9
Amari Rodgers,GB,12.7,143.0,0.9,0.0,0.0,0.0,0.1,37.5
N'Keal Harry,NE,8.5,95.4,0.7,0.0,0.0,0.0,0.1,30.3
Greg Ward,PHI,4.4,48.5,0.3,0.0,0.0,0.0,0.1,24.9
Albert Wilson,MIA,6.8,65.3,0.5,1.2,6.1,0.0,0.1,24.2
Devin Duvernay,BAL,5.5,61.8,0.3,0.0,0.0,0.0,0.1,32.0
Ty Montgomery,NO,13.2,138.5,0.9,8.5,38.9,0.1,0.1,36.5
Marquise Goodwin,CHI,7.4,105.6,0.7,0.0,0.0,0.0,0.1,28.1
Ihmir Smith-Marsette,MIN,11.0,145.0,1.0,0.0,0.0,0.0,0.1,32.7
Rodney Adams,CHI,11.4,158.2,0.9,0.0,0.0,0.0,0.0,33.4
Collin Johnson,NYG,7.8,98.5,0.6,0.0,0.0,0.0,0.1,25.9
Frank Darby,ATL,7.2,90.5,0.5,0.0,0.0,0.0,0.0,23.3
Shi Smith,CAR,8.5,104.4,0.5,1.8,11.0,0.1,0.1,25.5
Christian Blake,ATL,8.7,97.2,0.0,0.0,0.0,0.0,0.1,25.2
Jalen Hurd,SF,5.1,63.1,0.4,0.0,0.0,0.0,0.1,18.0
Tylan Wallace,BAL,5.8,75.2,0.6,0.0,0.0,0.0,0.0,21.4
Trinity Benson,DET,10.9,136.7,0.6,0.0,0.0,0.0,0.1,28.2
Ray-Ray McCloud,PIT,8.9,83.4,0.4,2.1,10.7,0.0,0.2,23.6
Jamal Agnew,JAC,6.2,85.3,0.4,4.1,24.9,0.1,0.1,25.2
Miles Boykin,BAL,2.4,31.3,0.3,0.0,0.0,0.0,0.0,14.5
Braxton Berrios,NYJ,1.2,13.6,0.0,0.0,0.0,0.0,0.0,11.9
Penny Hart,SEA,9.0,104.2,0.8,1.3,6.7,0.0,0.0,24.7
Anthony Schwartz,CLE,7.1,86.7,0.6,0.0,0.0,0.0,0.0,20.8
Andy Isabella,ARI,5.6,70.3,0.4,0.0,0.0,0.0,0.0,18.6
Cam Sims,WAS,1.9,26.3,0.1,0.0,0.0,0.0,0.0,13.2
Cedrick Wilson,DAL,0.9,9.9,0.0,0.0,0.0,0.0,0.1,9.8
Jakeem Grant Sr.,MIA,2.6,28.6,0.1,0.9,4.8,0.0,0.0,15.5
Trent Sherfield,SF,0.7,8.2,0.0,0.0,0.0,0.0,0.1,9.8
Noah Brown,DAL,0.9,9.8,0.0,0.0,0.0,0.0,0.1,9.9
Zay Jones,LV,3.3,35.0,0.3,0.0,0.0,0.0,0.0,13.4
Simi Fehoko,DAL,3.9,50.2,0.3,0.0,0.0,0.0,0.0,14.8
Tyler Johnson,TB,3.7,87.3,0.4,0.0,0.0,0.0,0.1,18.6
Lil'Jordan Humphrey,NO,4.2,54.7,0.3,0.0,0.0,0.0,0.0,15.3
Cameron Batson,TEN,6.1,56.4,0.4,0.0,0.0,0.0,0.1,16.9
Andre Roberts,HOU,0.7,7.9,0.0,0.0,0.0,0.0,0.1,8.5
KeeSean Johnson,PHI,7.7,85.4,0.5,0.0,0.0,0.0,0.0,19.0
Chester Rogers,TEN,3.4,37.2,0.3,0.0,0.0,0.0,0.0,13.0
