player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Trey Sermon,SF,9.3,39.4,0.3,1.7,11.8,0.0,0.1,12.1
C.J. Ham,MIN,2.1,2.1,0.1,4.3,32.7,0.2,0.1,19.1
Pierre Strong Jr.,NE,12.4,51.9,0.5,3.0,28.0,0.0,0.1,15.5
Jaret Patterson,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.2,13.1
Ryan Nall,DAL,0.0,29.4,0.2,7.1,63.1,0.3,0.0,19.7
Tony Jones Jr.,NO,16.9,22.2,0.0,3.0,11.3,0.0,0.0,9.6
Kene Nwangwu,MIN,8.8,35.5,0.2,2.0,16.0,0.0,0.1,12.8
JaMycal Hasty,SF,5.1,0.0,0.0,0.6,5.2,0.0,0.0,7.0
Keaontay Ingram,ARI,12.2,50.4,0.0,2.2,15.8,0.0,0.1,12.4
Snoop Conner,JAC,17.0,66.0,0.0,3.0,19.0,0.0,0.1,24.3
Kyren Williams,LAR,12.0,51.0,0.6,2.0,15.0,0.0,0.1,15.7
Dare Ogunbowale,HOU,6.9,28.9,0.0,4.0,33.0,0.0,0.1,18.6
Mike Boone,DEN,4.7,19.5,0.0,2.0,16.0,0.0,0.1,10.7
Darwin Thompson,SEA,0.0,75.6,0.6,3.8,28.8,0.2,0.1,18.9
Tyler Badie,BAL,11.6,48.2,0.0,2.0,18.0,0.0,0.1,10.2
Keith Smith,ATL,7.7,7.7,0.1,5.2,29.4,0.3,0.1,12.8
Royce Freeman,HOU,15.1,61.9,0.4,4.3,27.8,0.2,0.0,16.1
Qadree Ollison,ATL,10.8,42.6,0.0,0.0,0.0,0.0,0.1,17.4
Dwayne Washington,NO,4.8,0.1,0.0,3.8,31.2,0.2,0.1,9.5
Abram Smith,NO,20.6,85.3,0.6,1.9,13.8,0.1,0.1,15.8
Trenton Cannon,TEN,10.4,0.8,0.0,4.2,45.7,0.3,0.0,13.2
Jerome Ford,CLE,2.1,8.5,0.1,0.0,0.0,0.0,0.0,3.2
Rico Dowdle,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.9
Derrick Gore,KC,4.4,17.8,0.0,4.6,35.5,0.0,0.0,14.2
Andy Janovich,HOU,8.7,0.1,0.0,4.1,28.7,0.2,0.0,10.6
Justice Hill,BAL,2.6,11.3,0.1,0.4,3.3,0.0,0.0,5.8
Ty'Son Williams,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6
Kylin Hill,GB,3.7,16.1,0.0,2.0,15.0,0.0,0.0,9.4
Alec Ingold,MIA,4.0,7.3,0.1,4.3,30.1,0.2,0.1,11.9
Ty Chandler,MIN,3.9,16.4,0.0,0.0,0.0,0.0,0.0,6.5
Jake Funk,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.1,12.7
Darrynton Evans,CHI,4.9,19.6,0.0,1.9,13.5,-0.1,0.1,9.7
Andrew Beck,DEN,4.7,18.9,0.2,4.4,33.0,0.2,0.0,11.6
Antonio Williams,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.8
Devine Ozigbo,NO,4.8,19.2,0.2,3.8,31.2,0.2,0.0,10.7
Giovanni Ricci,CAR,0.0,0.0,0.0,3.9,30.0,0.2,0.0,9.0
Jason Cabinda,DET,2.1,4.9,0.1,4.1,29.4,0.2,0.0,10.4
Alex Armah Jr.,WAS,4.8,19.0,0.2,3.9,27.8,0.2,0.0,10.5
