player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Isaiah Ford,MIA,1.6,15.0,0.1,0.0,0.0,0.0,0.0,2.6
Kendall Hinton,DEN,1.1,12.1,0.0,1.2,6.4,0.0,0.0,2.5
Brandon Zylstra,CAR,1.2,15.2,0.1,0.0,0.0,0.0,0.0,2.4
Joe Reed,LAC,0.8,9.4,0.0,0.9,4.8,0.0,0.0,1.8
Matt Cole,NYG,0.9,9.5,0.0,0.9,4.3,0.0,0.0,1.8
DeMichael Harris,IND,0.7,8.1,0.0,0.9,4.7,0.0,0.0,1.6
Kelvin Harmon,WAS,0.8,10.6,0.0,0.0,0.0,0.0,0.0,1.5
Vyncint Smith,NYJ,0.9,10.1,0.0,0.0,0.0,0.0,0.0,1.4
Gehrig Dieter,KC,0.9,9.7,0.0,0.0,0.0,0.0,0.0,1.4
Nsimba Webster,CHI,0.9,9.5,0.0,0.0,0.0,0.0,0.0,1.4
Jason Moore,LAC,0.8,9.5,0.0,0.0,0.0,0.0,0.0,1.4
Josh Malone,NYJ,0.9,9.4,0.0,0.0,0.0,0.0,0.0,1.4
Jeff Badet,ATL,0.9,9.3,0.0,0.0,0.0,0.0,0.0,1.4
Chad Hansen,DET,0.9,9.2,0.0,0.0,0.0,0.0,0.0,1.3
Tanner Gentry,BUF,0.8,9.2,0.0,0.0,0.0,0.0,0.0,1.3
Cyril Grayson Jr.,TB,0.9,9.0,0.0,0.0,0.0,0.0,0.0,1.3
John Hightower,PHI,0.7,9.8,0.0,0.0,0.0,0.0,0.0,1.3
John Ursua,SEA,0.8,9.0,0.0,0.0,0.0,0.0,0.0,1.3
Darvin Kidsy,SEA,0.8,9.0,0.0,0.0,0.0,0.0,0.0,1.3
Jake Lampman,NO,0.7,9.4,0.0,0.0,0.0,0.0,0.0,1.3
Marcell Ateman,LV,0.7,9.1,0.0,0.0,0.0,0.0,0.0,1.3
Laquon Treadwell,JAC,0.8,8.4,0.0,0.0,0.0,0.0,0.0,1.3
KhaDarel Hodge,DET,0.7,8.8,0.0,0.0,0.0,0.0,0.0,1.2
Dan Chisena,MIN,0.7,8.7,0.0,0.0,0.0,0.0,0.0,1.2
Derrick Willies,CLE,0.7,8.6,0.0,0.0,0.0,0.0,0.0,1.2
Alexander Hollins,CLE,0.7,8.5,0.0,0.0,0.0,0.0,0.0,1.2
Mack Hollins,MIA,0.8,8.0,0.0,0.0,0.0,0.0,0.0,1.2
Ja'Marcus Bradley,CLE,0.7,8.4,0.0,0.0,0.0,0.0,0.0,1.2
JoJo Natson,CLE,0.7,8.3,0.0,0.0,0.0,0.0,0.0,1.2
Ashton Dulin,IND,0.7,8.3,0.0,0.0,0.0,0.0,0.0,1.2
River Cracraft,SF,0.7,8.3,0.0,0.0,0.0,0.0,0.0,1.2
Cody Hollister,TEN,0.7,8.0,0.0,0.0,0.0,0.0,0.0,1.2
Justin Hardy,CHI,0.7,8.0,0.0,0.0,0.0,0.0,0.0,1.1
Tyrie Cleveland,DEN,0.7,8.0,0.0,0.0,0.0,0.0,0.0,1.1
Kevin White,NO,0.7,8.0,0.0,0.0,0.0,0.0,0.0,1.1
Keith Kirkwood,CAR,0.7,7.6,0.0,0.0,0.0,0.0,0.0,1.1
Jordan Matthews,SF,0.7,7.6,0.0,0.0,0.0,0.0,0.0,1.1
Ryan Switzer,CLE,0.8,7.1,0.0,0.0,0.0,0.0,0.0,1.1
