rank,name,team,position,bye,best,worst,ecp,ecp_std_dev,adp,ecp_vs_adp
114,Jack Doyle,IND,TE13,11,65,236,115.4,24.0,124.0,+10.0
115,Andy Dalton,CIN,QB16,6,81,143,114.4,12.8,132.0,+17.0
116,James White,NE,RB41,9,55,178,113.2,19.2,104.0,-12.0
117,Darren McFadden,DAL,RB42,6,74,263,117.3,33.6,99.0,-18.0
118,Rishard Matthews,TEN,WR47,8,68,209,117.8,24.2,119.0,+1.0
119,Darren Sproles,PHI,RB43,10,61,171,115.3,25.0,122.0,+3.0
120,Marvin Jones,DET,WR48,7,63,224,121.1,25.1,113.0,-7.0
121,Eli Manning,NYG,QB17,8,79,148,120.6,14.2,133.0,+12.0
122,C.J. Prosise,SEA,RB44,6,77,213,121.8,22.9,123.0,+1.0
123,Chris Hogan,NE,WR49,9,66,242,129.1,47.5,111.0,-12.0
124,Thomas Rawls,SEA,RB45,6,67,184,126.8,27.2,109.0,-15.0
125,Corey Davis,TEN,WR50,8,41,171,127.3,20.9,112.0,-13.0
126,Ted Ginn,NO,WR51,5,81,247,133.8,30.1,140.0,+14.0
127,Jason Witten,DAL,TE14,6,76,188,130.8,16.6,143.0,+16.0
128,Carson Palmer,ARI,QB18,8,100,165,131.8,12.2,152.0,+24.0
129,Coby Fleener,NO,TE15,5,102,200,134.4,19.2,154.0,+25.0
130,Carson Wentz,PHI,QB19,10,103,179,134.9,15.7,137.0,+7.0
131,Tyrod Taylor,BUF,QB20,6,90,181,134.4,20.8,159.0,+28.0
132,Kevin White,CHI,WR52,9,73,181,133.5,26.6,135.0,+3.0
133,Samaje Perine,WAS,RB46,5,44,203,139.2,35.0,128.0,-5.0
134,Austin Hooper,ATL,TE16,5,82,191,137.7,19.9,145.0,+11.0
135,Rex Burkhead,NE,RB47,9,85,234,139.5,31.4,144.0,+9.0
136,Zay Jones,BUF,WR53,6,90,211,140.6,23.8,126.0,-10.0
137,Robby Anderson,NYJ,WR54,11,97,212,139.8,25.1,156.0,+19.0
138,C.J. Fiedorowicz,HOU,TE17,7,84,232,144.8,23.1,198.0,+60.0
139,Jacquizz Rodgers,TB,RB48,11,89,228,146.4,34.1,125.0,-14.0
140,Sterling Shepard,NYG,WR55,8,111,233,147.0,24.7,142.0,+2.0
141,Denver Broncos,,DST1,5,118,201,145.1,20.2,120.0,-21.0
142,Jeremy Hill,CIN,RB49,6,85,245,148.9,32.5,151.0,+9.0
143,Seattle Seahawks,,DST2,6,123,200,146.0,18.8,127.0,-16.0
144,Cole Beasley,DAL,WR56,6,55,239,147.9,36.3,150.0,+6.0
145,Giovani Bernard,CIN,RB50,6,103,210,146.7,25.2,146.0,+1.0
146,Houston Texans,,DST3,7,122,199,146.5,15.4,129.0,-17.0
147,Cameron Brate,TB,TE18,11,95,200,150.1,22.4,174.0,+27.0
148,Jamaal Williams,GB,RB51,8,85,210,150.5,31.9,130.0,-18.0
149,Tyler Lockett,SEA,WR57,6,126,189,149.5,14.7,164.0,+15.0
150,Julius Thomas,MIA,TE19,11,104,241,155.2,26.7,161.0,+11.0
151,Kansas City Chiefs,,DST4,10,121,204,149.8,15.5,131.0,-20.0
152,Jamaal Charles,DEN,RB52,5,100,269,157.2,36.5,139.0,-13.0
153,Josh Doctson,WAS,WR58,5,106,230,157.4,27.6,163.0,+10.0
154,Kenny Stills,MIA,WR59,11,86,228,158.5,26.4,187.0,+33.0
155,Shane Vereen,NYG,RB53,8,48,263,153.3,38.4,172.0,+17.0
